公司,代號,股價 (50 Days ago),股價 (Today),漲幅
光罩,2338,48.80,48.15,-1.33%
台亞,2340,29.00,29.85,2.93%
茂矽,2342,30.85,31.45,1.94%
華邦電,2344,14.80,19.10,29.05%
智邦,2345,774.00,680.00,-12.14%
聯強,2347,72.90,70.80,-2.88%
海悅,2348,192.00,194.00,1.04%
錸德,2349,13.90,13.50,-2.88%
順德,2351,95.40,97.10,1.78%
佳世達,2352,33.40,34.80,4.19%
宏碁,2353,38.85,39.65,2.06%
鴻準,2354,77.70,76.80,-1.16%
敬鵬,2355,37.85,36.90,-2.51%
英業達,2356,52.50,47.70,-9.14%
華碩,2357,629.00,691.00,9.86%
所羅門,2359,160.50,154.50,-3.74%
致茂,2360,363.50,335.50,-7.70%
藍天,2362,52.10,51.20,-1.73%
矽統,2363,70.20,67.80,-3.42%
倫飛,2364,79.60,91.60,15.08%
昆盈,2365,46.10,43.90,-4.77%
燿華,2367,31.75,30.15,-5.04%
金像電,2368,236.00,216.50,-8.26%
菱生,2369,17.60,17.70,0.57%
大同,2371,47.05,44.10,-6.27%
震旦行,2373,63.10,65.70,4.12%
佳能,2374,62.70,62.00,-1.12%
凱美,2375,67.80,68.10,0.44%
技嘉,2376,286.00,261.50,-8.57%
微星,2377,188.00,194.50,3.46%
瑞昱,2379,540.00,560.00,3.70%
虹光,2380,4.21,4.85,15.20%
廣達,2382,294.00,254.50,-13.44%
台光電,2383,620.00,576.00,-7.10%
群光,2385,154.00,163.50,6.17%
精元,2387,61.70,65.10,5.51%
威盛,2388,99.50,93.70,-5.83%
云辰,2390,11.80,12.50,5.93%
正崴,2392,71.50,70.30,-1.68%
億光,2393,83.30,83.40,0.12%
研華,2395,354.00,406.00,14.69%
友通,2397,77.70,79.70,2.57%
映泰,2399,26.00,25.80,-0.77%
凌陽,2401,28.65,30.20,5.41%
毅嘉,2402,38.55,40.55,5.19%
漢唐,2404,487.50,444.00,-8.92%
輔信,2405,21.10,22.25,5.45%
國碩,2406,14.65,15.20,3.75%
南亞科,2408,27.60,42.90,55.43%
友達,2409,14.50,15.10,4.14%
中華電,2412,123.50,126.50,2.43%
環科,2413,24.85,25.05,0.80%
精技,2414,36.75,37.35,1.63%
錩新,2415,29.70,30.00,1.01%
圓剛,2417,48.45,51.80,6.91%
仲琦,2419,30.35,30.15,-0.66%
新巨,2420,63.10,63.70,0.95%
建準,2421,95.90,95.20,-0.73%
固緯,2423,42.25,44.30,4.85%
隴華,2424,61.00,56.70,-7.05%
承啟,2425,34.00,36.50,7.35%
鼎元,2426,23.00,22.15,-3.70%
三商電,2427,27.15,27.90,2.76%
興勤,2428,153.00,166.00,8.50%
銘旺科,2429,32.35,39.00,20.56%
燦坤,2430,30.05,30.20,0.50%
聯昌,2431,14.65,14.85,1.37%
互盛電,2433,50.50,50.30,-0.40%
統懋,2434,32.60,30.65,-5.98%
偉詮電,2436,55.20,57.90,4.89%
翔耀,2438,31.45,37.25,18.44%
美律,2439,109.00,112.50,3.21%
太空梭,2440,12.55,12.55,0.00%
